timestep,axis1,axis2,axis3,hr
0,53,61,106,213.0
1,34,0,21,213.0
2,0,0,35,213.0
3,0,0,4,213.0
4,0,0,0,213.0
5,0,0,0,213.0
6,0,0,0,79.0
7,0,0,0,78.0
8,0,0,0,77.0
9,0,0,0,76.0
10,92,87,36,75.0
11,48,92,63,75.0
12,16,74,2,76.0
13,0,44,2,78.0
14,48,6,35,78.0
15,98,116,75,78.0
16,117,127,43,79.0
17,54,112,119,80.0
18,112,108,81,80.0
19,117,130,100,78.0
20,198,179,285,78.0
21,207,107,63,77.0
22,130,62,95,78.0
23,56,68,88,79.0
24,57,46,65,80.0
25,79,80,31,80.0
26,36,31,73,78.0
27,70,56,76,78.0
28,48,0,62,78.0
29,24,22,91,75.0
30,34,39,23,75.0
31,74,66,107,75.0
32,42,44,44,75.0
33,0,0,45,71.0
34,0,0,8,70.0
35,0,0,2,69.0
36,5,37,17,69.0
37,1,24,29,69.0
38,101,66,76,69.0
39,165,149,118,67.0
40,44,35,60,67.0
41,34,64,41,67.0
42,48,53,70,68.0
43,41,62,21,69.0
44,29,81,47,69.0
45,80,142,101,69.0
46,52,135,107,70.0
47,100,187,107,70.0
48,35,186,131,69.0
49,33,45,184,69.0
50,13,38,114,69.0
51,203,49,79,69.0
52,208,17,53,73.0
53,266,131,130,72.0
54,122,127,10,70.0
55,53,92,52,68.0
56,24,70,92,68.0
57,0,4,9,68.0
58,39,130,83,69.0
59,118,103,126,69.0
60,40,34,10,69.0
61,62,147,157,69.0
62,62,0,63,69.0
63,0,0,1,69.0
64,0,0,0,88.0
65,0,0,0,84.0
66,0,0,0,79.0
67,0,0,0,78.0
68,0,0,0,78.0
69,90,10,108,78.0
70,43,0,65,77.0
71,66,7,115,77.0
72,116,17,119,78.0
73,67,0,63,78.0
74,24,0,21,79.0
75,48,0,16,78.0
76,5,7,6,76.0
77,34,8,105,75.0
78,21,0,31,75.0
79,0,0,27,77.0
80,0,0,9,79.0
81,0,0,0,80.0
82,0,0,30,80.0
83,0,16,90,80.0
84,0,4,20,80.0
85,161,30,138,73.0
86,292,79,67,74.0
87,35,35,44,74.0
88,35,11,7,74.0
89,45,6,10,74.0
90,0,23,0,76.0
91,0,34,0,78.0
92,0,0,0,79.0
93,0,0,0,79.0
94,0,0,0,78.0
95,0,0,0,78.0
96,0,0,0,77.0
97,0,0,0,76.0
98,0,0,0,75.0
99,0,0,0,75.0
100,0,0,0,74.0
101,55,32,66,74.0
102,29,152,74,74.0
103,125,136,91,74.0
104,78,52,80,74.0
105,80,214,175,75.0
106,103,137,216,76.0
107,22,53,279,76.0
108,0,0,73,74.0
109,0,0,29,73.0
110,0,4,0,72.0
111,10,1,0,72.0
112,4,0,25,72.0
113,11,12,62,72.0
114,39,90,45,73.0
115,101,139,44,73.0
116,182,67,56,73.0
117,234,17,34,73.0
118,44,41,36,72.0
119,47,23,45,72.0
120,69,84,59,71.0
121,55,16,35,70.0
122,6,7,35,71.0
123,0,0,23,72.0
124,43,38,37,74.0
